,Car_name,Year,Price,Location,Status,Ratings,Mileage
2480,Ford Explorer,2002,"₦ 2,615,000","Ogba, Lagos",Foreign Used,4.6,"100,000 km"
2481,Land Rover Range Rover Vogue,2019,"₦ 122,415,000","Ilasan New Road, Lekki, Lagos",Foreign Used,5.0,"18,750 km"
2482,Land Rover Range Rover Velar,2018,"₦ 45,615,000","Ilasan New Road, Lekki, Lagos",Foreign Used,4.9,"38,415 km"
2483,Honda Crosstour,2012,"₦ 3,915,000","Ikeja, Lagos",Foreign Used,4.8,"95,355 km"
2484,Lexus RX 300,2003,"₦ 1,565,000","Festac, Lagos",Locally Used,5.0,11 km
2485,Toyota RAV 4,2008,"₦ 3,815,000","Rumukurushi, Port Harcourt",Foreign Used,5.0,"125,320 km"
2486,Toyota Corolla,2005,"₦ 2,915,000","Rumukurushi, Port Harcourt",Foreign Used,5.0,"152,776 km"
2487,Toyota Matrix,2005,"₦ 2,715,000","Rumukurushi, Port Harcourt",Foreign Used,5.0,"195,230 km"
2488,Toyota Highlander,2004,"₦ 2,015,000","Rumukurushi, Port Harcourt",Locally Used,4.9,"227,360 km"
2489,Acura MDX,2006,"₦ 2,815,000","Rumukurushi, Port Harcourt",Foreign Used,4.9,"202,609 km"
